lr-AdamW,step,train_loss_clf,train_acc,train_loss_total,epoch,val_loss_clf,val_acc,val_loss_total
3.9999999999999996e-05,0,,,,,,,
,15,2.279989242553711,0.16162109375,2.279989242553711,0,,,
,15,,,,0,2.262827157974243,0.22846153378486633,2.262827157974243
4.046981127041262e-05,16,,,,,,,
,31,2.230874538421631,0.23046875,2.230874538421631,1,,,
,31,,,,1,2.2036044597625732,0.23153847455978394,2.2036044597625732
4.18783254040265e-05,32,,,,,,,
,47,2.1813015937805176,0.27392578125,2.1813015937805176,2,,,
,47,,,,2,2.1539523601531982,0.314615398645401,2.1539523601531982
4.422278516828099e-05,48,,,,,,,
,63,2.1233174800872803,0.296875,2.1233174800872803,3,,,
,63,,,,3,2.1063315868377686,0.29923075437545776,2.1063315868377686
4.749860117309176e-05,64,,,,,,,
,79,2.078145980834961,0.3037109375,2.078145980834961,4,,,
,79,,,,4,2.061630964279175,0.30538463592529297,2.061630964279175
5.169936085479667e-05,80,,,,,,,
,95,2.028653383255005,0.322265625,2.028653383255005,5,,,
,95,,,,5,2.0259897708892822,0.26153847575187683,2.0259897708892822
5.6816841029051204e-05,96,,,,,,,
,111,1.9814342260360718,0.31640625,1.9814342260360718,6,,,
,111,,,,6,1.945712924003601,0.3523077070713043,1.945712924003601
6.284102398809689e-05,112,,,,,,,
,127,1.9270293712615967,0.34130859375,1.9270293712615967,7,,,
,127,,,,7,1.898367166519165,0.2492307722568512,1.898367166519165
6.976011711089562e-05,128,,,,,,,
,143,1.8924143314361572,0.326171875,1.8924143314361572,8,,,
,143,,,,8,1.8750901222229004,0.2523077130317688,1.8750901222229004
7.756057594773846e-05,144,,,,,,,
,159,1.8181461095809937,0.3505859375,1.8181461095809937,9,,,
,159,,,,9,1.7823231220245361,0.26769232749938965,1.7823231220245361
8.622713073414218e-05,160,,,,,,,
,175,1.7868499755859375,0.35302734375,1.7868499755859375,10,,,
,175,,,,10,1.7094180583953857,0.3392307758331299,1.7094180583953857
9.574281628213076e-05,176,,,,,,,
,191,1.7102775573730469,0.39306640625,1.7102775573730469,11,,,
,191,,,,11,1.6369881629943848,0.4076923131942749,1.6369881629943848
0.0001060890051903866,192,,,,,,,
,207,1.6820144653320312,0.3974609375,1.6820144653320312,12,,,
,207,,,,12,1.607357382774353,0.39538460969924927,1.607357382774353
0.00011724544430826464,208,,,,,,,
