lr-AdamW,step,val_loss_clf,val_acc,val_loss_total,epoch,train_loss_clf,train_acc,train_loss_total
3.9999999999999996e-05,0,,,,,,,
,28,2.2841696739196777,0.2601359486579895,2.2841696739196777,0,,,
,28,,,,0,2.3565621376037598,0.15883620083332062,2.3565621376037598
4.0106689667383354e-05,29,,,,,,,
,57,2.193722724914551,0.3257935047149658,2.193722724914551,1,,,
,57,,,,1,2.2768850326538086,0.2586206793785095,2.2768850326538086
4.042671124167849e-05,58,,,,,,,
,86,2.102142810821533,0.3460898995399475,2.102142810821533,2,,,
,86,,,,2,2.2008955478668213,0.31918102502822876,2.2008955478668213
4.095992246040507e-05,87,,,,,,,
,115,2.009427547454834,0.3618379235267639,2.009427547454834,3,,,
,115,,,,3,2.130887269973755,0.33211207389831543,2.130887269973755
4.170608628969834e-05,116,,,,,,,
,144,1.9176585674285889,0.3821343183517456,1.9176585674285889,4,,,
,144,,,,4,2.058289051055908,0.35280171036720276,2.058289051055908
4.26648710296799e-05,145,,,,,,,
,173,1.8249515295028687,0.40719908475875854,1.8249515295028687,5,,,
,173,,,,5,1.9794789552688599,0.3651939630508423,1.9794789552688599
4.383585046191236e-05,174,,,,,,,
,202,1.7448070049285889,0.4306010603904724,1.7448070049285889,6,,,
,202,,,,6,1.912028193473816,0.38168102502822876,1.912028193473816
4.5218504038870076e-05,203,,,,,,,
,231,1.6764633655548096,0.4463490843772888,1.6764633655548096,7,,,
,231,,,,7,1.8549177646636963,0.3845905065536499,1.8549177646636963
4.681221711534396e-05,232,,,,,,,
,260,1.5979259014129639,0.4807306230068207,1.5979259014129639,8,,,
,260,,,,8,1.796342134475708,0.4003232717514038,1.796342134475708
4.8616281221675094e-05,261,,,,,,,
,289,1.5582199096679688,0.4939844608306885,1.5582199096679688,9,,,
,289,,,,9,1.7339903116226196,0.41670259833335876,1.7339903116226196
5.062989437869963e-05,290,,,,,,,
,318,1.49989914894104,0.511175274848938,1.49989914894104,10,,,
,318,,,,10,1.6626715660095215,0.44040948152542114,1.6626715660095215
5.2852161454259076e-05,319,,,,,,,
,347,1.434069037437439,0.5345771908760071,1.434069037437439,11,,,
,347,,,,11,1.6057430505752563,0.45603448152542114,1.6057430505752563
5.528209456112383e-05,348,,,,,,,
,376,1.3950453996658325,0.49647870659828186,1.3950453996658325,12,,,
,376,,,,12,1.544460654258728,0.46831896901130676,1.544460654258728
5.7918613496148316e-05,377,,,,,,,
,405,1.334951400756836,0.5691788792610168,1.334951400756836,13,,,
,405,,,,13,1.4884765148162842,0.4890086352825165,1.4884765148162842
6.076054622046489e-05,406,,,,,,,
,434,1.3033335208892822,0.5658532381057739,1.3033335208892822,14,,,
,434,,,,14,1.465013861656189,0.4831896424293518,1.465013861656189
6.38066293805026e-05,435,,,,,,,
,463,1.2998685836791992,0.5550936460494995,1.2998685836791992,15,,,
,463,,,,15,1.4209896326065063,0.4984913766384125,1.4209896326065063
6.705550886959794e-05,464,,,,,,,
,492,1.231545329093933,0.5838753581047058,1.231545329093933,16,,,
,492,,,,16,1.3544270992279053,0.5211206674575806,1.3544270992279053
7.050574042995075e-05,493,,,,,,,
,521,1.2303087711334229,0.5793269872665405,1.2303087711334229,17,,,
,521,,,,17,1.3261359930038452,0.5224137902259827,1.3261359930038452
7.415579029465471e-05,522,,,,,,,
,550,1.1492977142333984,0.5853180885314941,1.1492977142333984,18,,,
,550,,,,18,1.2970666885375977,0.5272629261016846,1.2970666885375977
7.800403586951776e-05,551,,,,,,,
,579,1.1599990129470825,0.5903066396713257,1.1599990129470825,19,,,
,579,,,,19,1.2432525157928467,0.5511853694915771,1.2432525157928467
8.20487664543719e-05,580,,,,,,,
,608,1.1146537065505981,0.589255154132843,1.1146537065505981,20,,,
,608,,,,20,1.242847204208374,0.5478448271751404,1.242847204208374
8.628818400354722e-05,609,,,,,,,
,637,1.0946719646453857,0.5977405309677124,1.0946719646453857,21,,,
,637,,,,21,1.2059193849563599,0.5523706674575806,1.2059193849563599
9.072040392517637e-05,638,,,,,,,
,666,1.0307378768920898,0.6097716093063354,1.0307378768920898,22,,,
,666,,,,22,1.1777682304382324,0.563900887966156,1.1777682304382324
9.534345591897056e-05,667,,,,,,,
,695,1.0202375650405884,0.6134885549545288,1.0202375650405884,23,,,
,695,,,,23,1.1432418823242188,0.5729525685310364,1.1432418823242188
0.00010015528485209882,696,,,,,,,
,724,1.0082687139511108,0.6215826272964478,1.0082687139511108,24,,,
,724,,,,24,1.1057777404785156,0.5831896662712097,1.1057777404785156
0.00010515375167277608,725,,,,,,,
,753,1.0036166906356812,0.6284051537513733,1.0036166906356812,25,,,
,753,,,,25,1.0712883472442627,0.5943965315818787,1.0712883472442627
0.00011033663436115849,754,,,,,,,
,782,0.9783000946044922,0.6126571297645569,0.9783000946044922,26,,,
,782,,,,26,1.046160101890564,0.6045258641242981,1.046160101890564
0.0001157016289171207,783,,,,,,,
,811,0.9326092004776001,0.6377218961715698,0.9326092004776001,27,,,
,811,,,,27,1.0101230144500732,0.612500011920929,1.0101230144500732
0.0001212463503844763,812,,,,,,,
,840,0.9349874258041382,0.5979605913162231,0.9349874258041382,28,,,
,840,,,,28,0.9963409304618835,0.6231681108474731,0.9963409304618835
0.00012696833391118753,841,,,,,,,
,869,0.9301811456680298,0.648701548576355,0.9301811456680298,29,,,
,869,,,,29,1.0190646648406982,0.6094827651977539,1.0190646648406982
0.00013286503584509102,870,,,,,,,
,898,0.9229389429092407,0.6329535245895386,0.9229389429092407,30,,,
,898,,,,30,0.963138997554779,0.6229525804519653,0.963138997554779
0.00013893383486465337,899,,,,,,,
,927,0.8684648275375366,0.6582383513450623,0.8684648275375366,31,,,
,927,,,,31,0.9529922008514404,0.6246767044067383,0.9529922008514404
0.00014517203314425465,928,,,,,,,
,956,0.8708503842353821,0.6501442790031433,0.8708503842353821,32,,,
,956,,,,32,0.938274085521698,0.6370689868927002,0.938274085521698
0.00015157685755348,957,,,,,,,
,985,0.9354225397109985,0.6277937889099121,0.9354225397109985,33,,,
,985,,,,33,0.9321361780166626,0.6393318772315979,0.9321361780166626
0.00015814546088988837,986,,,,,,,
,1014,0.8287163972854614,0.6352276802062988,0.8287163972854614,34,,,
,1014,,,,34,0.8955471515655518,0.6504310369491577,0.8955471515655518
0.00016487492314470854,1015,,,,,,,
,1043,0.7617839574813843,0.6735461950302124,0.7617839574813843,35,,,
,1043,,,,35,0.8786365389823914,0.6551724076271057,0.8786365389823914
0.0001717622528009001,1044,,,,,,,
,1072,0.8256565928459167,0.6613439321517944,0.8256565928459167,36,,,
,1072,,,,36,0.8616986274719238,0.6606680750846863,0.8616986274719238
0.0001788043881630041,1073,,,,,,,
,1101,0.8130818605422974,0.662566602230072,0.8130818605422974,37,,,
,1101,,,,37,0.8234109282493591,0.6731681227684021,0.8234109282493591
0.00018599819871818963,1102,,,,,,,
,1130,0.7714090943336487,0.6861886382102966,0.7714090943336487,38,,,
,1130,,,,38,0.8250895738601685,0.6765086054801941,0.8250895738601685
0.00019334048652789237,1131,,,,,,,
,1159,0.7404755353927612,0.7042108774185181,0.7404755353927612,39,,,
,1159,,,,39,0.8019273281097412,0.6879310607910156,0.8019273281097412
0.00020082798764942806,1160,,,,,,,
,1188,0.7021888494491577,0.6926199197769165,0.7021888494491577,40,,,
,1188,,,,40,0.7795044183731079,0.6951508522033691,0.7795044183731079
0.0002084573735869462,1189,,,,,,,
,1217,0.7138972282409668,0.7073164582252502,0.7138972282409668,41,,,
,1217,,,,41,0.7669958472251892,0.7006465792655945,0.7669958472251892
0.0002162252527710798,1218,,,,,,,
,1246,0.6804983019828796,0.7363182902336121,0.6804983019828796,42,,,
,1246,,,,42,0.772316575050354,0.7016164064407349,0.772316575050354
0.00022412817206663566,1247,,,,,,,
,1275,0.6967288851737976,0.7011052966117859,0.6967288851737976,43,,,
,1275,,,,43,0.73063725233078,0.7197198271751404,0.73063725233078
0.00023216261830765101,1276,,,,,,,
,1304,0.6655998229980469,0.737149715423584,0.6655998229980469,44,,,
,1304,,,,44,0.7184628248214722,0.7199353575706482,0.7184628248214722
0.0002403250198591382,1305,,,,,,,
,1333,0.6805061101913452,0.7416980862617493,0.6805061101913452,45,,,
,1333,,,,45,0.6766958236694336,0.742241382598877,0.6766958236694336
0.00024861174820481975,1334,,,,,,,
,1362,0.660481870174408,0.7634371519088745,0.660481870174408,46,,,
,1362,,,,46,0.6746312975883484,0.7480603456497192,0.6746312975883484
0.00025701911956015023,1363,,,,,,,
,1391,0.6118556261062622,0.7760796546936035,0.6118556261062622,47,,,
,1391,,,,47,0.660005509853363,0.7605603337287903,0.660005509853363
0.0002655433965099071,1392,,,,,,,
,1420,0.5802305340766907,0.8121240735054016,0.5802305340766907,48,,,
,1420,,,,48,0.6150407791137695,0.7766163945198059,0.6150407791137695
0.00027418078966962164,1421,,,,,,,
,1449,0.4698873460292816,0.8574851751327515,0.4698873460292816,49,,,
,1449,,,,49,0.5949677228927612,0.7915948033332825,0.5949677228927612
0.00028292745937011355,1450,,,,,,,
,1478,0.5484601259231567,0.8284834027290344,0.5484601259231567,50,,,
,1478,,,,50,0.553350567817688,0.8091594576835632,0.553350567817688
0.0002917795173643784,1479,,,,,,,
,1507,0.4527212977409363,0.8396830558776855,0.4527212977409363,51,,,
,1507,,,,51,0.5395243763923645,0.8146551847457886,0.5395243763923645
0.00030073302855607013,1508,,,,,,,
,1536,0.4289585053920746,0.8670220375061035,0.4289585053920746,52,,,
,1536,,,,52,0.4829398989677429,0.8382543325424194,0.4829398989677429
0.0003097840127488097,1537,,,,,,,
,1565,0.48591679334640503,0.8442314267158508,0.48591679334640503,53,,,
,1565,,,,53,0.44864192605018616,0.850215494632721,0.44864192605018616
0.0003189284464155431,1566,,,,,,,
,1594,0.41609829664230347,0.8701276779174805,0.41609829664230347,54,,,
,1594,,,,54,0.44417113065719604,0.8544180989265442,0.44417113065719604
0.0003281622644871606,1595,,,,,,,
,1623,0.4220450520515442,0.8475570678710938,0.4220450520515442,55,,,
,1623,,,,55,0.41916388273239136,0.8592672348022461,0.41916388273239136
0.00033748136215958383,1624,,,,,,,
,1652,0.5002979040145874,0.8137868642807007,0.5002979040145874,56,,,
,1652,,,,56,0.402170866727829,0.8699353337287903,0.402170866727829
0.0003468815967185173,1653,,,,,,,
,1681,0.4960764944553375,0.8222721815109253,0.4960764944553375,57,,,
,1681,,,,57,0.38512036204338074,0.873383641242981,0.38512036204338074
0.00035635878938105106,1682,,,,,,,
,1710,0.3979957699775696,0.8711791038513184,0.3979957699775696,58,,,
,1710,,,,58,0.3795473277568817,0.875,0.3795473277568817
